Nama,karbohidrat,protein,kalori,lemak,energi,lemak jenuh,kolestrol,serat,gula,sodium,kalium,kategori makanan,label
Sayap Ayam,0,26.64,288,19.3,1205,5.4,83,0,0,404,183,hewani,makanan pembentuk otot
Daging Ayam (Panggang),0,20.33,111,2.7,464,0.67,65,0,0,75,238,hewani,makanan pembentuk otot
Daging dan Kulit Ayam (Panggang),0,17.14,216,15.85,904,4.53,73,0,0,68,196,hewani,makanan pembentuk otot
Daging Babi Panggang,0,26.98,247,14.59,1033,5.35,82,0,0,221,406,hewani,makanan pembentuk otot
Babi Panggang (Hanya Daging yang Dimakan),0,28.45,208,9.57,870,3.49,81,0,0,289,423,hewani,makanan pembentuk otot
Bahu Daging Babi Panggang,0,23.18,291,21.3,1218,7.83,90,0,0,230,328,hewani,makanan pembentuk otot
Bakso Daging Sapi,7.58,12.41,202,13.16,845,4.98,74,0.5,1.51,478,213,hewani,makanan pembentuk otot
Bakso Daging Sapi dan Babi,7.15,13.61,178,10.19,746,3.79,72,0.4,1.43,452,242,hewani,makanan pembentuk otot
Bakso Ayam,6.94,19.39,161,5.62,672,1.61,82,0.5,1.45,442,199,hewani,makanan pembentuk otot
Bakso Kalkun,6.94,19.63,149,4.16,622,1.37,74,0.5,1.45,432,232,hewani,makanan pembentuk otot
Bakso Daging Babi,4.76,19.83,166,6.98,696,2.02,83,0.2,0.51,796,287,hewani,makanan pembentuk otot
Daging Bebek,0,18.28,132,5.95,552,2.32,77,0,0,74,271,hewani,makanan pembentuk otot
Dada Ayam (Kulit tidak Dimakan),0,30.76,164,3.54,686,1,84,0,0,396,254,hewani,makanan pembentuk otot
Daging Dada Kalkun,4.21,17.07,104,1.66,435,0.48,43,0.5,3.51,1015,302,hewani,makanan pembentuk otot
Daging Dada dan Kulit Kalkun,0,21.89,157,7.02,657,1.91,65,0,6.9,59,275,hewani,makanan pembentuk otot
Daging Babi,0,27.34,271,17.04,1134,6.17,90,0,0,384,351,hewani,makanan pembentuk otot
Daging Babi Giling,0,16.88,263,21.19,1100,7.87,72,0,6.13,56,287,hewani,makanan pembentuk otot
Potongan Daging Babi,0,27.91,250,14.57,1046,5.4,83,0,0,386,404,hewani,makanan pembentuk otot
Iga Babi,0,28.94,395,30.17,1653,11.07,120,0,0,255,319,hewani,makanan pembentuk otot
Potongan Daging Domba,0,22.03,314,24.37,1314,10.65,95,0,0,390,255,hewani,makanan pembentuk otot
Domba Giling,0,16.56,282,23.41,1180,10.19,73,0,0,59,222,hewani,makanan pembentuk otot
Daging Domba Panggang,0,23.93,266,18.15,1113,7.63,92,0,0,228,281,hewani,makanan pembentuk otot
Potongan Daging Domba (Daging dan Lemak Dimakan),0,22.03,314,24.37,1314,10.65,95,0,0,390,255,hewani,makanan pembentuk otot
Daging Sapi,0,26.33,288,19.54,1205,7.73,87,0,0,384,315,hewani,makanan pembentuk otot
Daging Sapi Giling,0,25.35,276,18.58,1155,7.19,88,0,0,400,287,hewani,makanan pembentuk otot
Daging Sapi Giling tanpa Lemak,0,25.54,269,17.67,1125,6.71,90,0,0,397,302,hewani,makanan pembentuk otot
Daging Sapi Panggang,0,25.91,267,17.32,1117,6.81,76,0,0,217,292,hewani,makanan pembentuk otot
Daging Kornet,0.47,18.17,251,18.98,1050,6.34,98,0,0,1134,145,hewani,makanan pembentuk otot
Daging Sapi Ekstra tanpa Lemak,0,25.71,248,15.35,1038,5.84,89,0,0,394,315,hewani,makanan pembentuk otot
Daging Sapi Panggang (Hanya Bagian tanpa Lemak yang Dimakan),0,28.32,198,8.52,828,3.23,75,0,0,217,306,hewani,makanan pembentuk otot
Iga Babi Panggang dengan Saus,4.2,21.44,310,22.33,1297,8.07,87,0.4,1.29,334,287,hewani,makanan pembentuk otot
Kalkun,0,28.9,187,7.02,782,2,77,0,0,69,291,hewani,makanan pembentuk otot
Paha Ayam Panggang,0,24.85,245,15.36,1025,4.29,92,0,0,406,220,hewani,makanan pembentuk otot
Paha Ayam Panggang (Kulit Dimakan),0,24.85,245,15.36,1025,4.29,92,0,0,406,220,hewani,makanan pembentuk otot
Punggung Sapi,0,24.84,342,26.15,1431,10.2,93,0,0,225,242,hewani,makanan pembentuk otot
Daging Punggung Sapi (Hanya Bagian tanpa Lemak yang Dimakan),0,29.63,230,11.53,962,4.13,93,0,0,232,284,hewani,makanan pembentuk otot
Kornet Daging Punggung Sapi (Diawetkan),0.14,14.68,198,14.9,828,4.73,54,0,2.5,1217,297,hewani,makanan pembentuk otot
Sosis Daging Sapi,3.99,11.04,325,29.08,1360,11.52,54,0,2.54,1126,161,hewani,makanan pembentuk otot
Sosis Ayam,1.52,17.82,172,9.98,718,2.56,3.6,79,0,0,722,hewani,makanan pembentuk otot
Sosis Babi Segar,0,15.09,304,26.53,1272,8.8,11.89,72,0,0,636,hewani,makanan pembentuk otot
Sosis Kalkun,0.47,18.79,155,8.08,649,1.96,2.62,75,0,0,593,hewani,makanan pembentuk otot
Sosis Italia,4.27,19.12,344,27.31,1439,9.54,57,0.1,0.86,1207,304,hewani,makanan pembentuk otot
Telur Bebek,1.45,12.81,185,13.77,774,3.68,884,0,0.93,146,222,hewani,makanan pembentuk otot
Sayap Ayam Panggang (Kulit Dimakan),0,26.64,288,19.3,1205,5.4,83,0,0,404,183,hewani,makanan pembentuk otot
Guacamole dengan Tomat,7.64,1.62,116,9.94,485,1.45,0,4.9,1.37,201,393,nabati,makanan low-fat
Guacamole,8.51,1.96,157,14.31,657,2.08,0,6.6,0.71,148,476,nabati,makanan low-fat
Guacamole dengan Tomat dan Cabe Paprika,7.62,1.62,114,9.75,477,1.42,0,4.9,1.42,197,392,nabati,makanan low-fat
Buah Anggur,18.1,0.72,69,0.16,289,0.05,0,0.9,15.48,2,191,nabati,makanan low-fat
Anggur (Merah atau Hijau. Jenis Varietas Eropa Seperti Thompson tanpa Biji),18.1,0.72,69,0.16,289,0.05,0,0.9,15.48,2,191,nabati,makanan low-fat
Anggur Jenis Amerika (Kulit Licin),17.15,0.63,67,0.35,280,0.11,0,0.9,16.25,2,191,nabati,makanan low-fat
Anggur Jenis Eropa,18.1,0.72,69,0.16,289,0.05,0,0.9,15.48,2,191,nabati,makanan low-fat
Apel,13.81,0.26,52,0.17,218,0.03,0,2.4,10.39,1,107,nabati,makanan low-fat
Apel (tanpa Kulit),12.76,0.27,48,0.13,201,0.02,0,1.3,10.1,0,90,nabati,makanan low-fat
Apel Emas Lezat,13.81,0.26,52,0.17,220,0.03,0,2.4,10.39,1,107,nabati,makanan low-fat
Apel Fuji,13.81,0.26,52,0.17,216,0.03,0,2.4,10.39,1,107,nabati,makanan low-fat
Blewah Melon,8.16,0.84,34,0.19,142,0.05,0,0.9,7.86,16,267,nabati,makanan low-fat
Blueberi,14.49,0.74,57,0.33,238,0.03,0,2.4,9.96,1,77,nabati,makanan low-fat
Blueberry Tawar dalam Kemasan Air (Dimasak atau Kalengan),9.71,0.5,38,0.22,159,0.02,0,1.6,6.67,1,46,nabati,makanan low-fat
Beri,7.98,0.68,33,0.3,138,0.02,0,2.1,4.87,1,150,nabati,makanan low-fat
Stroberi,7.68,0.67,32,0.3,134,0.02,0,2,4.66,1,153,nabati,makanan low-fat
Rasberi,11.94,1.2,52,0.65,218,0.02,0,6.5,4.42,1,151,nabati,makanan low-fat
Blackberry,9.61,1.39,43,0.49,180,0.01,0,5.3,4.88,1,162,nabati,makanan low-fat
Campuran Buah Kering,64.81,2.19,244,0.44,1021,0.06,0,7.4,47.66,17,746,nabati,makanan low-fat
Apel Kering,65.89,0.93,243,0.32,1017,0.05,0,8.7,57.19,87,450,nabati,makanan low-fat
Cranberry Kering,82.36,0.07,308,1.37,1289,0.1,0,5.7,65,3,40,nabati,makanan low-fat
Prune Kering,63.88,2.18,240,0.38,1004,0.09,0,7.1,38.13,2,732,nabati,makanan low-fat
Aprikot Kering,62.64,3.39,241,0.51,1008,0.02,0,7.3,53.44,10,1162,nabati,makanan low-fat
Buah Pir,15.46,0.38,58,0.12,243,0.01,0,3.1,9.8,1,119,nabati,makanan low-fat
Pir (Dimasak atau Kalengan),19.17,0.2,74,0.13,310,0.01,0,1.6,15.2,5,65,nabati,makanan low-fat
Pir Asia,10.65,0.5,42,0.23,176,0.01,0,3.6,7.05,0,121,nabati,makanan low-fat
Pir (Padat dan Cair. Kemasan Sirup Ringan. Kalengan),15.17,0.19,57,0.03,238,0,0,1.6,12.1,5,66,nabati,makanan low-fat
Ceri Manis,16.01,1.06,63,0.2,264,0.04,0,2.1,12.82,0,222,nabati,makanan low-fat
Bing Ceri,16.01,1.06,63,0.2,264,0.04,0,2.1,12.82,0,222,nabati,makanan low-fat
Ceri Beku,11.02,0.92,46,0.44,192,0.1,0,1.6,9.02,1,124,nabati,makanan low-fat
Ceri Merah Asam,12.18,1,50,0.3,209,0.07,0,1.6,8.49,3,173,nabati,makanan low-fat
Jeruk,11.75,0.94,47,0.12,197,0.02,0,2.4,9.35,0,181,nabati,makanan low-fat
Jeruk Keprok (Jeruk Mandarin),13.34,0.81,53,0.31,222,0.04,0,1.8,10.58,2,166,nabati,makanan low-fat
Jeruk Bali,8.08,0.63,32,0.1,134,0.01,0,1.1,6.98,0,139,nabati,makanan low-fat
Jeruk Bali (Merah dan Merah Muda),10.66,0.77,42,0.14,176,0.02,0,1.6,6.89,0,135,nabati,makanan low-fat
Jeruk Mandarin (Kaleng atau Beku),16.19,0.45,61,0.1,255,0.01,0,0.7,15.49,6,78,nabati,makanan low-fat
Jeruk Keprok (Jeruk Mandarin. Jus Kemasan. Kalengan),9.57,0.62,37,0.03,155,0,0,0.7,8.87,5,133,nabati,makanan low-fat
Jeruk Keprok (Jeruk Mandarin. Sirup Ringan Kemasan. Kalengan),16.19,0.45,61,0.1,255,0.01,0,0.7,15.49,6,78,nabati,makanan low-fat
Kelapa,15.23,3.33,354,33.49,1481,29.7,0,9,6.23,20,356,nabati,makanan low-fat
Air Kelapa,3.71,0.72,19,0.2,79,0.18,0,1.1,2.61,105,250,nabati,makanan low-fat
Kismis,79.18,3.07,299,0.46,1251,0.06,0,3.7,59.19,11,749,nabati,makanan low-fat
Kismis (tanpa Biji),79.18,3.07,299,0.46,1251,0.06,0,3.7,59.19,11,749,nabati,makanan low-fat
Kismis Dilapisi Coklat,68.3,4.1,390,14.8,1632,8.8,3,4.2,62.22,36,514,nabati,makanan low-fat
Kismis Dilapisi Coklat Susu,68.3,4.1,390,14.8,1632,8.8,3,4.2,62.22,36,514,nabati,makanan low-fat
Mangga,17,0.51,65,0.27,272,0.07,0,1.8,14.8,2,156,nabati,makanan low-fat
Mangga Kering,81.61,1.48,314,0.78,1314,0.19,0,5.2,75.2,6,454,nabati,makanan low-fat
Nektar Mangga,15.16,0.2,58,0.11,243,0.03,0,0.7,14.27,2,56,nabati,makanan low-fat
Nanas,12.63,0.54,48,0.12,201,0.01,0,1.4,9.26,1,115,nabati,makanan low-fat
Nanas (Padat dan Cair. Air Kemasan. Kalengan),8.3,0.43,32,0.09,134,0.01,0,0.8,7.5,1,127,nabati,makanan low-fat
Nanas Potongan (Manis. Beku),22.2,0.4,86,0.1,360,0.01,0,1.1,21.1,2,100,nabati,makanan low-fat
Nanas (Padat dan Cair. Kemasan Sirup Ringan. Kalengan),13.45,0.36,52,0.12,218,0.01,0,0.8,12.65,1,105,nabati,makanan low-fat
Nanas (Padat dan Cair. Jus Kemasan. Kalengan),15.7,0.42,60,0.08,251,0.01,0,0.8,14.45,1,122,nabati,makanan low-fat
Pepaya,9.81,0.61,39,0.14,163,0.04,0,1.8,5.9,3,257,nabati,makanan low-fat
