Nama,karbohidrat,protein,kalori,lemak,energi,lemak jenuh,kolestrol,serat,gula,sodium,kalium,kategori makanan,label
Tahu Isi,7.21,8.54,112,5.53,468,1.04,1.98,46,1,1.4,270,nabati,makanan pembentuk otot
Tempe Rebus,9.35,18.19,196,11.38,820,3.4,39,2.47,7.65,14,401,nabati,makanan pembentuk otot
Jagung dengan Mentega,21.88,3.06,106,2.35,444,1.12,4,16.23,1.41,20,246,nabati,makanan energi
Jagung,19.02,3.22,86,1.18,360,0.18,0,2.7,3.22,15,270,nabati,makanan energi
Bubur Jagung,9.55,1.06,45,0.14,188,0.02,0,0.2,0.08,131,16,nabati,makanan energi
Lumpia Ayam,11.12,4.73,101,4.07,422,0.87,45,0.7,0.57,194,88,campuran,makanan ringan
Sayur Lumpia,11.63,3.1,98,4.43,409,0.87,36,1,1.18,324,117,campuran,makanan ringan
Lumpia Udang,11.55,4.09,104,4.64,436,0.91,51,0.9,0.84,378,113,campuran,makanan ringan
Lumpia Babi,10.88,5.94,116,5.36,485,1.23,44,0.8,0.79,321,149,campuran,makanan ringan
Risoles,14.43,10.54,160,6.25,668,2.54,2.58,41,0.6,1.06,202,campuran,makanan ringan
Risol Mayo,23.94,9.32,275,15.47,1149,4.23,5.94,112,0.7,1.86,329,campuran,makanan ringan
Risol Bihun,14.46,10.79,156,5.82,652,1.27,2.39,144,0.9,2.06,203,campuran,makanan ringan
Risol Ragout,21.38,10.18,250,13.65,1045,6.56,4.47,61,1.1,1.74,318,campuran,makanan ringan
Biskuit Tawar atau Mentega,44.6,7,353,16.3,1477,4.32,3,1.5,2.18,580,121,nabati,makanan ringan
Biskuit Gandum,46.22,9.67,311,11.58,1301,2.66,3,7.3,2.59,903,310,nabati,makanan ringan
Biskuit Tawar atau dengan Mentega (Rendah Lemak),47.6,6.7,257,4.5,1075,1.11,0,1.6,7,1248,159,nabati,makanan ringan
Biskuit Tawar atau Mentega (Campuran Kering. Siap),48.4,7.3,335,12.1,1402,2.79,4,1.8,3.93,955,188,nabati,makanan ringan
Tepung Tortilla,51.35,8.29,312,7.75,1305,1.89,0,3.1,1.92,636,155,nabati,makanan energi
Tortilla Jagung,44.64,5.7,218,2.85,912,0.45,0,6.3,0.88,45,186,nabati,makanan energi
Gandum Tortilla,55.82,9.61,263,1.3,1100,0.23,0,7.1,0.28,486,239,nabati,makanan energi
Oatmeal,10.84,2.59,62,1.02,259,0.18,0,1.6,0.24,119,54,nabati,makanan energi
Oatmeal Instan,18.22,2.46,91,1.2,381,0.22,0,1.9,6.58,122,78,nabati,makanan energi
Oatmeal dengan Buah,16.16,2.64,81,0.98,339,0.17,0,1.8,4.76,111,108,nabati,makanan energi
Oatmeal Multigrain,13.88,2.14,63,0.49,264,0.1,0,2.3,0.11,71,74,nabati,makanan energi
Roti Gandum,47.14,9.13,259,4.11,1084,0.9,0,4.4,5.49,530,204,campuran,makanan energi
Roti Multigrain,46.4,10,251,3.8,1050,0.81,0,6.4,10.05,487,204,campuran,makanan energi
Roti Gandum Hitam,48.3,8.5,259,3.3,1084,0.63,0,5.8,3.85,660,166,campuran,makanan energi
Bagel Gandum,58.41,10.41,286,1.4,1197,0.21,0,4.4,1.81,509,189,campuran,makanan energi
Bagel Panggang,57.11,11.14,288,1.72,1205,0.28,0,2.6,5.82,480,85,campuran,makanan energi
Bagel Kismis Kayu Manis,55.2,9.8,273,1.7,1142,0.27,0,2.3,5.98,322,148,campuran,makanan energi
Roti Kismis,52.3,7.9,274,4.4,1146,1.08,0,4.3,2.26,390,227,campuran,makanan energi
Roti Kismis Panggang,56.9,8.6,297,4.8,1243,1.18,0,4.7,6.18,424,246,campuran,makanan energi
Roti Panggang Putih,54.4,9,293,4,1226,0.58,1,2.5,4.74,592,131,campuran,makanan energi
Corn Flakes,86.7,6.7,360,0.1,1506,0,0,4.5,6.5,949,117,campuran,makanan energi
Roti Pita,55.7,9.1,275,1.2,1151,0.17,0,2.2,1.3,536,120,campuran,makanan energi
Roti Gandum Pita,55.8,10.47,273,1.43,1142,0.22,0,5.3,0.26,418,214,campuran,makanan energi
Roti Panggang Pita,61.21,10,302,1.32,1264,0.18,0,2.4,1.43,589,132,campuran,makanan energi
Roti Keju,48.14,8.5,273,4.78,1142,1.74,5,2.3,4.12,678,100,campuran,makanan energi
Roti Goreng,47.69,7.18,320,11.36,1337,2.87,0,3.5,0.2,541,124,campuran,makanan energi
Roti Baguette,51.9,8.8,274,3,1146,0.64,0,3,0.24,609,113,campuran,makanan energi
Cromboloni,44.87,6.37,375,18.99,1571,5.05,67,1.2,9.52,270,87,campuran,makanan ringan
Odading,48.15,8.26,321,10.36,1343,1.34,93,1.6,10.17,542,99,campuran,makanan ringan
Bika Ambon,53.34,3.11,264,4.44,1103,3.01,64,1.2,27.26,92,62,campuran,makanan ringan
Roti Sosis,32.28,9.69,324,17.05,1357,5.8,23,1.1,0.52,851,132,campuran,makanan energi
Roti Kentang,50.61,7.64,266,3.29,1113,0.72,0,2.4,4.31,681,100,campuran,makanan energi
Roti Canai,47.83,6.64,318,10.81,1331,2.74,0,2.2,0.18,597,81,campuran,makanan energi
Roti Italia,50,8.8,271,3.5,1134,0.86,0,2.7,0.83,584,110,campuran,makanan energi
Sereal Granola,52.95,14.87,490,24.36,2050,4.54,0,8.6,20.1,22,537,nabati,makanan energi
Croissant,45.8,8.2,406,21,1699,11.66,67,2.6,11.26,744,118,campuran,makanan ringan
Lidah Kucing,52.6,4.98,456,24.93,1909,8.52,31,1.4,12.77,402,82,campuran,makanan ringan
Kue Mentega atau Gula,65.6,5.45,475,21.6,1987,6.77,56,0.9,26.69,417,104,campuran,makanan ringan
Kue Sus,23.55,6.55,260,15.6,1088,3.9,130,0.5,8.04,339,116,campuran,makanan ringan
